Box no: x_left x_right y_top y_bottom
Box 1: (136 200 404 486) 
Box 2: (187 225 643 694) 
Box 3: (415 435 606 631) 
Box 4: (213 243 692 728) 
Box 5: (39 94 373 445) 
Box 6: (517 565 393 456) 
Box 7: (251 286 206 245) 
Box 8: (424 446 392 419) 
Box 9: (386 405 621 646) 
Box 10: (270 315 406 455) 
Box 11: (0 41 432 498) 
Box 12: (658 711 272 337) 
Box 13: (581 601 60 84) 
Box 14: (430 444 730 747) 
Box 15: (763 776 511 528) 
Box 16: (633 651 36 60) 
Box 17: (517 550 256 297) 
Box 18: (548 573 10 44) 
Box 19: (687 720 389 432) 
