ImgID,A1
NEUR29_scan1_img01_day13_D.pt,0
NEUR29_scan1_img01_day16_S.pt,2
NEUR29_scan1_img02_day06_S.pt,2
NEUR29_scan1_img02_day08_D.pt,2
NEUR29_scan1_img03_day12_D.pt,1
NEUR29_scan1_img03_day16_S.pt,2
NEUR29_scan1_img04_day07_S.pt,2
NEUR29_scan1_img04_day08_D.pt,0
NEUR29_scan1_img05_day08_D.pt,0
NEUR29_scan1_img06_day05_S.pt,2
NEUR29_scan1_img06_day11_D.pt,2
NEUR29_scan1_img07_day10_D.pt,2
NEUR29_scan1_img07_day15_S.pt,0
NEUR29_scan1_img08_day05_S.pt,2
NEUR29_scan1_img08_day10_D.pt,2
NEUR29_scan1_img09_day12_D.pt,2
NEUR29_scan1_img09_day15_S.pt,2
NEUR29_scan1_img10_day13_D.pt,2
NEUR29_scan1_img10_day16_S.pt,2
NEUR29_scan1_img11_day04_S.pt,2
NEUR29_scan1_img11_day09_D.pt,2
NEUR29_scan1_img12_day05_S.pt,2
NEUR29_scan1_img12_day12_D.pt,2
NEUR29_scan1_img13_day10_D.pt,2
NEUR29_scan1_img14_day13_D.pt,2
NEUR29_scan1_img14_day15_S.pt,2
NEUR29_scan1_img15_day13_D.pt,2
NEUR29_scan1_img15_day16_S.pt,2
NEUR29_scan1_img16_day06_S.pt,2
NEUR29_scan1_img16_day09_D.pt,0
NEUR29_scan1_img17_day11_D.pt,2
NEUR29_scan1_img17_day16_S.pt,2
NEUR29_scan1_img18_day11_D.pt,2
NEUR29_scan1_img18_day15_S.pt,2
NEUR29_scan1_img19_day04_S.pt,2
NEUR29_scan1_img19_day11_D.pt,2
NEUR29_scan1_img20_day07_S.pt,2
NEUR29_scan1_img20_day13_D.pt,2
NEUR29_scan1_img21_day06_S.pt,0
NEUR29_scan1_img21_day09_D.pt,2
NEUR29_scan1_img22_day09_D.pt,0
NEUR29_scan1_img22_day16_S.pt,2
NEUR29_scan1_img23_day04_S.pt,2
NEUR29_scan1_img23_day08_D.pt,2
NEUR29_scan1_img24_day06_S.pt,2
NEUR29_scan1_img24_day13_D.pt,0
NEUR29_scan1_img25_day06_S.pt,2
NEUR29_scan1_img25_day12_D.pt,2
NEUR29_scan1_img26_day06_S.pt,1
NEUR29_scan1_img26_day10_D.pt,2
NEUR29_scan1_img27_day12_D.pt,2
NEUR29_scan1_img27_day16_S.pt,2
NEUR29_scan1_img28_day05_S.pt,2
NEUR29_scan1_img28_day11_D.pt,2
NEUR29_scan1_img29_day12_D.pt,2
NEUR29_scan1_img29_day16_S.pt,0
NEUR29_scan1_img30_day06_S.pt,0
NEUR29_scan1_img30_day11_D.pt,2
NEUR29_scan1_img31_day04_S.pt,2
NEUR29_scan1_img31_day12_D.pt,2
NEUR29_scan1_img32_day04_S.pt,2
NEUR29_scan1_img33_day14_D.pt,2
NEUR29_scan1_img34_day06_S.pt,2
NEUR29_scan1_img34_day08_D.pt,0
NEUR29_scan1_img35_day04_S.pt,2
NEUR29_scan1_img35_day08_D.pt,2
NEUR29_scan1_img36_day05_S.pt,0
NEUR29_scan1_img36_day08_D.pt,2
NEUR29_scan1_img37_day07_S.pt,2
NEUR29_scan1_img37_day08_D.pt,2
NEUR29_scan1_img38_day04_S.pt,2
NEUR29_scan1_img38_day10_D.pt,0
NEUR29_scan1_img39_day10_D.pt,0
NEUR29_scan1_img39_day16_S.pt,0
NEUR29_scan1_img40_day05_S.pt,2
NEUR29_scan1_img40_day09_D.pt,2
NEUR29_scan1_img41_day13_D.pt,2
NEUR29_scan1_img41_day16_S.pt,2
NEUR29_scan1_img42_day05_S.pt,2
NEUR29_scan1_img42_day11_D.pt,0
NEUR29_scan1_img43_day16_S.pt,2
NEUR29_scan1_img44_day04_S.pt,2
NEUR29_scan1_img44_day13_D.pt,2
NEUR29_scan1_img45_day05_S.pt,2
NEUR29_scan1_img45_day13_D.pt,2
NEUR29_scan1_img46_day04_S.pt,2
NEUR29_scan1_img46_day08_D.pt,0
NEUR29_scan1_img47_day07_S.pt,2
NEUR29_scan1_img48_day12_D.pt,2
NEUR29_scan1_img48_day15_S.pt,0
NEUR29_scan2_img04_day12_S.pt,0
NEUR29_scan2_img04_day19_D.pt,0
NEUR29_scan2_img05_day11_S.pt,0
NEUR29_scan2_img05_day17_D.pt,0
NEUR29_scan2_img06_day05_D.pt,1
NEUR29_scan2_img06_day11_S.pt,1
NEUR29_scan2_img07_day05_D.pt,0
NEUR29_scan2_img07_day12_S.pt,0
NEUR29_scan2_img08_day06_D.pt,0
NEUR29_scan2_img08_day12_S.pt,0
NEUR29_scan2_img09_day09_S.pt,0
NEUR29_scan2_img09_day16_D.pt,0
NEUR29_scan2_img10_day08_S.pt,0
NEUR29_scan2_img10_day18_D.pt,1
NEUR29_scan2_img11_day07_D.pt,0
NEUR29_scan2_img11_day14_S.pt,0
NEUR29_scan2_img12_day09_S.pt,2
NEUR29_scan2_img12_day20_D.pt,0
NEUR29_scan2_img13_day08_S.pt,0
NEUR29_scan2_img13_day19_D.pt,0
NEUR29_scan2_img14_day11_S.pt,2
NEUR29_scan2_img14_day20_D.pt,1
NEUR29_scan2_img15_day13_S.pt,0
NEUR29_scan2_img15_day17_D.pt,2
NEUR29_scan2_img16_day07_D.pt,0
NEUR29_scan2_img16_day12_S.pt,0
NEUR29_scan2_img17_day05_D.pt,2
NEUR29_scan2_img17_day09_S.pt,0
NEUR29_scan2_img18_day10_S.pt,0
NEUR29_scan2_img18_day17_D.pt,0
NEUR29_scan2_img19_day10_S.pt,0
NEUR29_scan2_img19_day19_D.pt,0
NEUR29_scan2_img20_day07_D.pt,2
NEUR29_scan2_img20_day14_S.pt,0
NEUR29_scan2_img21_day05_D.pt,2
NEUR29_scan2_img21_day08_S.pt,0
NEUR29_scan2_img22_day06_D.pt,0
NEUR29_scan2_img22_day13_S.pt,0
NEUR29_scan2_img23_day05_D.pt,0
NEUR29_scan2_img23_day11_S.pt,0
NEUR29_scan2_img24_day06_D.pt,2
NEUR29_scan2_img24_day10_S.pt,2
NEUR29_scan2_img25_day09_S.pt,2
NEUR29_scan2_img25_day15_D.pt,0
NEUR29_scan2_img26_day10_S.pt,0
NEUR29_scan2_img26_day16_D.pt,0
NEUR29_scan2_img27_day11_S.pt,0
NEUR29_scan2_img27_day15_D.pt,0
NEUR29_scan2_img28_day08_S.pt,0
NEUR29_scan2_img28_day20_D.pt,0
NEUR29_scan2_img29_day11_S.pt,0
NEUR29_scan2_img29_day16_D.pt,0
NEUR29_scan2_img30_day09_S.pt,2
NEUR29_scan2_img30_day20_D.pt,0
NEUR29_scan2_img31_day10_S.pt,0
NEUR29_scan2_img31_day17_D.pt,2
NEUR29_scan2_img32_day11_S.pt,0
NEUR29_scan2_img32_day20_D.pt,0
NEUR29_scan2_img33_day05_D.pt,0
NEUR29_scan2_img33_day09_S.pt,0
NEUR29_scan2_img34_day09_S.pt,0
NEUR29_scan2_img34_day18_D.pt,0
NEUR29_scan2_img35_day06_D.pt,2
NEUR29_scan2_img35_day11_S.pt,0
NEUR29_scan2_img36_day09_S.pt,0
NEUR29_scan2_img36_day18_D.pt,0
NEUR29_scan2_img37_day13_S.pt,0
NEUR29_scan2_img37_day18_D.pt,0
NEUR29_scan2_img38_day05_D.pt,0
NEUR29_scan2_img38_day14_S.pt,0
NEUR29_scan2_img39_day06_D.pt,0
NEUR29_scan2_img39_day12_S.pt,0
NEUR29_scan2_img40_day05_D.pt,0
NEUR29_scan2_img40_day10_S.pt,0
NEUR29_scan2_img41_day11_S.pt,0
NEUR29_scan2_img41_day18_D.pt,0
NEUR29_scan2_img42_day08_S.pt,0
NEUR29_scan2_img42_day20_D.pt,0
NEUR29_scan2_img43_day07_D.pt,0
NEUR29_scan2_img43_day14_S.pt,0
NEUR29_scan2_img44_day13_S.pt,0
NEUR29_scan2_img44_day20_D.pt,2
NEUR29_scan2_img45_day12_S.pt,0
NEUR29_scan2_img45_day18_D.pt,0
NEUR29_scan2_img46_day04_D.pt,0
NEUR29_scan2_img46_day09_S.pt,0
NEUR29_scan2_img47_day11_S.pt,0
NEUR29_scan2_img47_day17_D.pt,0
NEUR29_scan2_img48_day07_D.pt,0
NEUR29_scan2_img48_day08_S.pt,0
NEUR29_scan2_img49_day10_S.pt,0
NEUR29_scan2_img49_day20_D.pt,0
NEUR29_scan2_img50_day04_D.pt,0
NEUR29_scan2_img50_day09_S.pt,0
NEUR29_scan2_img51_day08_S.pt,0
NEUR29_scan2_img51_day15_D.pt,0
NEUR29_scan3_img01_day78_S.pt,0
NEUR29_scan3_img01_day81_D.pt,0
NEUR29_scan3_img02_day76_D.pt,0
NEUR29_scan3_img02_day81_S.pt,1
NEUR29_scan3_img03_day63_D.pt,0
NEUR29_scan3_img03_day90_S.pt,2
NEUR29_scan3_img04_day77_D.pt,0
NEUR29_scan3_img05_day64_S.pt,2
NEUR29_scan3_img05_day86_D.pt,0
NEUR29_scan3_img06_day86_D.pt,0
NEUR29_scan3_img06_day90_S.pt,0
NEUR29_scan3_img07_day73_D.pt,0
NEUR29_scan3_img07_day78_S.pt,2
NEUR29_scan3_img08_day73_D.pt,2
NEUR29_scan3_img08_day91_S.pt,0
NEUR29_scan3_img09_day70_S.pt,0
NEUR29_scan3_img09_day83_D.pt,0
NEUR29_scan3_img10_day69_S.pt,0
NEUR29_scan3_img10_day84_D.pt,1
NEUR29_scan3_img11_day76_D.pt,0
NEUR29_scan3_img11_day81_S.pt,0
NEUR29_scan3_img12_day67_S.pt,0
NEUR29_scan3_img12_day72_D.pt,0
NEUR29_scan3_img13_day70_S.pt,0
NEUR29_scan3_img13_day87_D.pt,0
NEUR29_scan3_img14_day62_D.pt,0
NEUR29_scan3_img14_day90_S.pt,0
NEUR29_scan3_img15_day62_D.pt,0
NEUR29_scan3_img15_day78_S.pt,0
NEUR29_scan3_img16_day63_D.pt,0
NEUR29_scan3_img16_day89_S.pt,0
NEUR29_scan3_img17_day71_D.pt,0
NEUR29_scan3_img17_day81_S.pt,1
NEUR29_scan3_img18_day78_S.pt,0
NEUR29_scan3_img18_day84_D.pt,0
NEUR29_scan3_img19_day83_D.pt,0
NEUR29_scan3_img20_day61_D.pt,0
NEUR29_scan3_img20_day80_S.pt,0
NEUR29_scan3_img21_day65_S.pt,2
NEUR29_scan3_img22_day79_S.pt,2
NEUR29_scan3_img22_day85_D.pt,0
NEUR29_scan3_img23_day80_S.pt,0
NEUR29_scan3_img23_day86_D.pt,0
NEUR29_scan3_img24_day61_D.pt,2
NEUR29_scan3_img24_day80_S.pt,0
NEUR29_scan3_img25_day86_D.pt,2
NEUR29_scan3_img25_day90_S.pt,2
NEUR29_scan3_img26_day87_D.pt,0
NEUR29_scan3_img26_day90_S.pt,0
NEUR29_scan3_img27_day81_S.pt,0
NEUR29_scan3_img27_day88_D.pt,0
NEUR29_scan3_img28_day78_S.pt,2
NEUR29_scan3_img28_day86_D.pt,0
NEUR29_scan3_img29_day86_D.pt,2
NEUR29_scan3_img29_day90_S.pt,2
NEUR29_scan3_img30_day77_D.pt,2
NEUR29_scan3_img30_day78_S.pt,2
NEUR29_scan3_img31_day64_S.pt,2
NEUR29_scan3_img31_day71_D.pt,0
NEUR29_scan3_img32_day65_S.pt,2
NEUR29_scan3_img32_day76_D.pt,0
NEUR29_scan3_img33_day63_D.pt,0
NEUR29_scan3_img33_day89_S.pt,2
NEUR29_scan3_img34_day60_D.pt,1
NEUR29_scan3_img34_day69_S.pt,0
NEUR29_scan3_img35_day87_D.pt,0
NEUR29_scan3_img36_day66_S.pt,0
NEUR29_scan3_img36_day74_D.pt,2
NEUR29_scan3_img37_day73_D.pt,1
NEUR29_scan3_img37_day78_S.pt,2
NEUR29_scan3_img38_day75_D.pt,1
NEUR29_scan3_img38_day79_S.pt,2
NEUR29_scan3_img39_day64_S.pt,0
NEUR29_scan3_img39_day77_D.pt,1
NEUR29_scan3_img40_day79_S.pt,2
NEUR29_scan3_img40_day84_D.pt,1
NEUR29_scan3_img41_day60_D.pt,1
NEUR29_scan3_img41_day69_S.pt,0
NEUR29_scan3_img42_day65_S.pt,2
NEUR29_scan3_img42_day86_D.pt,2
NEUR29_scan3_img43_day69_S.pt,1
NEUR29_scan3_img43_day83_D.pt,2
NEUR29_scan3_img44_day66_S.pt,2
NEUR29_scan3_img44_day86_D.pt,0
NEUR29_scan3_img45_day66_S.pt,1
NEUR29_scan3_img45_day75_D.pt,0
NEUR29_scan3_img46_day66_S.pt,0
NEUR29_scan3_img46_day76_D.pt,2
NEUR29_scan3_img47_day61_D.pt,2
NEUR29_scan3_img48_day66_S.pt,0
NEUR29_scan3_img48_day71_D.pt,0
