GR,apriori_g,dynamic_g,apriori_p,dynamic_p
0,2.310527205467224,2.3105228304862977,2.312562757730484,2.312562757730484
1,2.2667392253875733,2.2667334735393525,1.9774735957384109,1.9665831804275513
2,2.248040920495987,2.2530758678913116,1.8735779821872711,1.8744510978460311
3,2.235200834274292,2.2434238523244856,1.8016288131475449,1.8154668003320693
4,2.2265797793865203,2.2405665636062624,1.7473578870296478,1.7666015148162841
5,2.220134323835373,2.233133366703987,1.694626474380493,1.7282133623957634
6,2.214690923690796,2.230797937512398,1.6466446861624717,1.694884054362774
7,2.2114146918058397,2.228817331790924,1.6078070268034934,1.6696458220481873
8,2.2080113768577574,2.2313102006912233,1.5656045004725456,1.6435551837086677
9,2.205825704336166,2.226625406742096,1.5294612750411034,1.624098290503025
10,2.2036917597055434,2.223636680841446,1.4906215324997902,1.6075820609927178
11,2.201961824297905,2.2212016612291334,1.4601213365793229,1.591081664711237
12,2.200263786315918,2.219877061247826,1.4214036777615546,1.5811937943100929
13,2.1985772401094437,2.221784237027168,1.3876364037394524,1.5669462464749813
14,2.1970673859119416,2.2195347994565964,1.3555696994066238,1.5578160475939513
15,2.195963165163994,2.2171387702226637,1.3210711523890495,1.5467475540935993
16,2.1949701815843583,2.214186576008797,1.2886513575911522,1.541048500686884
17,2.193141958117485,2.21785654425621,1.2640829309821129,1.529760230705142
18,2.192018207907677,2.217959377169609,1.2298646211624145,1.5212204672396183
19,2.1914793372154238,2.2183812737464903,1.2043911337852478,1.5190298702567815
20,2.1898721367120744,2.220609188079834,1.1716722682118417,1.5130321659147739
21,2.188869062066078,2.217168149352074,1.1447451248764993,1.507580024935305
22,2.1888950765132904,2.2162047892808916,1.1202192693948745,1.5010352065786718
23,2.1870109677314757,2.2173440903425217,1.0912999287247658,1.4915562650188803
24,2.185405358672142,2.2174211114645006,1.0672190122306346,1.4888834729790688
25,2.1862554609775544,2.216785842180252,1.0462949469685554,1.4853307632729411
26,2.184657037258148,2.2164351850748063,1.025712688267231,1.481709343381226
27,2.183562383055687,2.216219300031662,1.0023784965276719,1.4767830038443208
28,2.182377055287361,2.2146690398454667,0.9817100882530212,1.4742820997722448
29,2.1819291353225707,2.2143803924322127,0.9598343431949615,1.4712448003701866
30,2.1814118027687073,2.2131404370069503,0.942420344799757,1.4699093925766646
31,2.1807017475366592,2.21392217874527,0.9171330779790878,1.4680149446241557
32,2.179411804676056,2.2151894748210905,0.8939319923520088,1.4617143273353577
33,2.179099014401436,2.214546340703964,0.8795291058719158,1.4611530081368982
34,2.178197005391121,2.2136347949504853,0.8619423300027848,1.4570784143172204
35,2.1768549531698227,2.21297011077404,0.8489487439393997,1.4595334372483193
36,2.1757866024971007,2.2136443078517916,0.8290442656725645,1.4585504891350864
37,2.1758012235164643,2.212826815247536,0.8165891662240028,1.4488515778444708
38,2.1745806634426117,2.2122669905424117,0.8017003014683723,1.4492528275586665
39,2.1743591338396073,2.211897963285446,0.7916153077036142,1.4502800556831061
40,2.1739411503076553,2.212296187877655,0.77591558881104,1.448102038167417
41,2.1734549254179,2.213379168510437,0.7599922485649586,1.4505262495018543
42,2.172750100493431,2.2140187323093414,0.7511538505554199,1.44749946128577
43,2.1721599221229555,2.2154402643442155,0.7364361964166164,1.4503010424785316
44,2.1720937877893447,2.218214562535286,0.7265091441571713,1.445152146089822
45,2.1715665727853777,2.2188998401165008,0.7200889617204667,1.451099132746458
46,2.1721959352493285,2.220280387997627,0.7041526660323143,1.4476470245514066
47,2.172597515583038,2.2209864109754562,0.6943212892860174,1.4565704421605914
48,2.171391135454178,2.2195830553770066,0.6790400598198175,1.4537204699125141
49,2.170359766483307,2.2215684324502947,0.6657829105854034,1.4533183726016432
